selection_version,selection_rule_id,date,year,observation_method,product_level,reflectance_quantity,source_product_id,paired_l2a_product_id,source_alignment_status,frozen_scl_gate_pass,l2a_representative_status,l1c_pairing_status,exact_three_method_source_alignment,method_product_available,required_qa_complete,source_failure_reason,minimum_valid_pixels,window_pixel_count,diagnostic_flags_exclusionary,mci_wavelength_source,NDCI_valid_pixel_count,NDCI_median,ndci_observation_eligible,ndci_selection_status,MCI_valid_pixel_count,MCI_median,mci_observation_eligible,mci_selection_status,common_B456_valid_count,common_b456_observation_eligible,common_b456_selection_status,selection_chlf_used,analysis_version,reference_date_match,CHLF,PRESENCE_ICE,open_water,measurement_regime,reference_analysis_eligible,ndci_method_specific_support,ndci_matchup_status,ndci_primary_common_support,mci_method_specific_support,mci_matchup_status,mci_primary_common_support
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-24,2019,L2A,L2A,BOA,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,frozen_representative,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.003236245954692574,True,eligible_at_least_6_of_9_valid_pixels,9,0.0008000000000000021,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.9497,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-24,2019,ACOLITE,L2R,rhos,S2A_MSIL1C_20190424T101031_N0500_R022_T34VCM_20221024T205552,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,eligible_exact_l1c_product_found,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,0.11948751029703267,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0029580885544419275,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.9497,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-27,2019,L1C,L1C,TOA,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,exact_unique,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.05553615089067421,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0017483333333333378,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.29786,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-27,2019,L2A,L2A,BOA,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,frozen_representative,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.03157894736842105,True,eligible_at_least_6_of_9_valid_pixels,9,-0.00012000000000000031,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.29786,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-27,2019,ACOLITE,L2R,rhos,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,eligible_exact_l1c_product_found,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,0.00674072674288833,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0015136095384756729,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.29786,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-29,2019,L1C,L1C,TOA,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,exact_unique,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.060297572435395456,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0014649999999999976,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.89997,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-29,2019,L2A,L2A,BOA,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,frozen_representative,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.06586826347305391,True,eligible_at_least_6_of_9_valid_pixels,9,-0.000633333333333333,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.89997,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-29,2019,ACOLITE,L2R,rhos,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,eligible_exact_l1c_product_found,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.025569417065714424,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0013100313022732738,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.89997,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-02,2019,L1C,L1C,TOA,,,no_l2a_representative_for_date,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_l2a_representative_for_date,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_l2a_representative_for_date,,,,unavailable_no_l2a_representative_for_date,,,unavailable_no_l2a_representative_for_date,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.78985,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-02,2019,L2A,L2A,BOA,,,no_representative_frozen_scl_gate_failed,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_representative_frozen_scl_gate_failed,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_representative_frozen_scl_gate_failed,,,,unavailable_no_representative_frozen_scl_gate_failed,,,unavailable_no_representative_frozen_scl_gate_failed,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.78985,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-02,2019,ACOLITE,L2R,rhos,,,not_eligible_no_frozen_l2a_representative,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,not_eligible_no_frozen_l2a_representative,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,unavailable_not_eligible_no_frozen_l2a_representative,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.78985,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-04,2019,L1C,L1C,TOA,,,no_l2a_representative_for_date,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_l2a_representative_for_date,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_l2a_representative_for_date,,,,unavailable_no_l2a_representative_for_date,,,unavailable_no_l2a_representative_for_date,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.5652,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-04,2019,L2A,L2A,BOA,,,no_representative_frozen_scl_gate_failed,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_representative_frozen_scl_gate_failed,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_representative_frozen_scl_gate_failed,,,,unavailable_no_representative_frozen_scl_gate_failed,,,unavailable_no_representative_frozen_scl_gate_failed,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.5652,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-04,2019,ACOLITE,L2R,rhos,,,not_eligible_no_frozen_l2a_representative,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,not_eligible_no_frozen_l2a_representative,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,unavailable_not_eligible_no_frozen_l2a_representative,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.5652,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-07,2019,L1C,L1C,TOA,,,no_l2a_representative_for_date,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_l2a_representative_for_date,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_l2a_representative_for_date,,,,unavailable_no_l2a_representative_for_date,,,unavailable_no_l2a_representative_for_date,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.95345,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-07,2019,L2A,L2A,BOA,,,no_representative_frozen_scl_gate_failed,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_representative_frozen_scl_gate_failed,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_representative_frozen_scl_gate_failed,,,,unavailable_no_representative_frozen_scl_gate_failed,,,unavailable_no_representative_frozen_scl_gate_failed,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.95345,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-07,2019,ACOLITE,L2R,rhos,,,not_eligible_no_frozen_l2a_representative,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,not_eligible_no_frozen_l2a_representative,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,unavailable_not_eligible_no_frozen_l2a_representative,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.95345,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-09,2019,L1C,L1C,TOA,,,no_l2a_representative_for_date,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_l2a_representative_for_date,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_l2a_representative_for_date,,,,unavailable_no_l2a_representative_for_date,,,unavailable_no_l2a_representative_for_date,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.83473,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-09,2019,L2A,L2A,BOA,,,no_representative_frozen_scl_gate_failed,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_representative_frozen_scl_gate_failed,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_representative_frozen_scl_gate_failed,,,,unavailable_no_representative_frozen_scl_gate_failed,,,unavailable_no_representative_frozen_scl_gate_failed,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.83473,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-09,2019,ACOLITE,L2R,rhos,,,not_eligible_no_frozen_l2a_representative,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,not_eligible_no_frozen_l2a_representative,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,unavailable_not_eligible_no_frozen_l2a_representative,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.83473,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-12,2019,L1C,L1C,TOA,,,no_l2a_representative_for_date,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_l2a_representative_for_date,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_l2a_representative_for_date,,,,unavailable_no_l2a_representative_for_date,,,unavailable_no_l2a_representative_for_date,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.82754,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-12,2019,L2A,L2A,BOA,,,no_representative_frozen_scl_gate_failed,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_representative_frozen_scl_gate_failed,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_representative_frozen_scl_gate_failed,,,,unavailable_no_representative_frozen_scl_gate_failed,,,unavailable_no_representative_frozen_scl_gate_failed,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.82754,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-12,2019,ACOLITE,L2R,rhos,,,not_eligible_no_frozen_l2a_representative,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,not_eligible_no_frozen_l2a_representative,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,unavailable_not_eligible_no_frozen_l2a_representative,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.82754,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-14,2019,L1C,L1C,TOA,,,no_l2a_representative_for_date,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_l2a_representative_for_date,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_l2a_representative_for_date,,,,unavailable_no_l2a_representative_for_date,,,unavailable_no_l2a_representative_for_date,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.04339,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-14,2019,L2A,L2A,BOA,,,no_representative_frozen_scl_gate_failed,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_representative_frozen_scl_gate_failed,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_representative_frozen_scl_gate_failed,,,,unavailable_no_representative_frozen_scl_gate_failed,,,unavailable_no_representative_frozen_scl_gate_failed,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.04339,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-14,2019,ACOLITE,L2R,rhos,,,not_eligible_no_frozen_l2a_representative,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,not_eligible_no_frozen_l2a_representative,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,unavailable_not_eligible_no_frozen_l2a_representative,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.04339,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-17,2019,L1C,L1C,TOA,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,exact_unique,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.04770396790013369,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0014966666666666635,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.24125,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-17,2019,L2A,L2A,BOA,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,frozen_representative,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,0.02890173410404627,True,eligible_at_least_6_of_9_valid_pixels,9,-0.000346666666666667,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.24125,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-05-17,2019,ACOLITE,L2R,rhos,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,eligible_exact_l1c_product_found,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,0.06485694760810752,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0014279803882042558,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,2.24125,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
